Project,Promoter Name,Project Type,Project Start Date,Date of Completion,Certificate No,Certificate Date,Total,Sold,Status,District,Village,Taluk
THE GARDENIA BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2019-12-01,2023-05-29,K-RERA/PRJ/005/2020,2021-03-30,1,1,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
Dasco Royal Valley Phase 1,Mahesh Ayanimoodu Vijayan,Villas (Plots & Buildings),2019-08-25,2022-11-05,K-RERA/PRJ/126/2020,2021-03-24,9,6,Completed,Thiruvananthapuram,VEMBAYAM,Nedumangad
Padmalaya,Promag Realtors & Developers Pvt Ltd,Plots,2019-02-14,2026-08-13,K-RERA/PRJ/132/2020,2021-03-27,,10,Completed,Thiruvananthapuram,NEMOM,THIRUVANANTHAPRUAM
ARTECH METROPOLIS,ARTECH REALTORS PRIVATE LIMITED,Residential (Apartment),2017-10-21,2023-12-30,K-RERA/PRJ/114/2020,2021-04-30,150,132,Completed,Thiruvananthapuram,ULOOR,THIRUVANANTHAPRUAM
SFS WEST HILL,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2020-01-01,2024-03-31,K-RERA/PRJ/256/2020,2021-04-26,108,107,Completed,Thiruvananthapuram,KARAKULAM,Nedumangad
Oceanus Moonstone IV,Oceanus Dwellings Pvt Ltd,Residential (Apartment),2015-04-09,2022-12-31,K-RERA/PRJ/238/2020,2021-04-15,48,48,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
VEEGALAND BLISS,VEEGALAND DEVELOPERS PRIVATE LIMITED,Residential (Apartment),2019-12-16,2023-08-28,K-RERA/PRJ/115/2020,2021-04-15,78,73,Completed,Ernakulam,THEKKUMBHAGOM KANAYANNUR,Kanayannur
DH DZIRE MUTTATHIL,DREAMS HABITAT PVT LTD,Residential (Apartment),2015-08-10,2023-02-02,K-RERA/PRJ/125/2021,2021-04-29,9,1,Completed,Ernakulam,ELAMKULAM,Kanayannur
LOTUS NANDANAM,VEDAPURI LOTUS PROPERTIES PVT LTD,Residential (Apartment),2020-12-30,2023-10-31,K-RERA/PRJ/007/2021,2021-04-30,22,22,Completed,Ernakulam,NADAMA,Kanayannur
BUILTECH SUMMIT,BUILTECH SUMMIT,Residential (Apartment),2017-03-03,2021-09-30,K-RERA/PRJ/068/2020,2021-07-27,23,2,Completed,Palakkad,PALAKKAD I,Palakkad
TBPL RIO GRANDE,Thrissur Builders Private Limited,Residential (Apartment),2019-01-15,2023-12-31,K-RERA/PRJ/048/2020,2021-03-27,34,33,Completed,Thrissur,THRISSUR,Thrissur
SILVER CASTLE SPRINGS,Silver Castle Construction Company Pvt Ltd,Residential (Apartment),2017-10-25,2021-06-30,K-RERA/PRJ/079/2020,2022-02-09,30,30,Completed,Thiruvananthapuram,KUDAPPANAKUNNU,THIRUVANANTHAPRUAM
TRITON CRESCENT,CRESCENT BUILDERS,Residential (Apartment),2019-06-01,2023-05-31,K-RERA/PRJ/037/2020,2021-03-27,97,97,Completed,Kozhikode,NELLIKODE,Kozhikode
LANDMARK MAPLE,CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,Residential (Apartment),2018-04-29,2022-05-31,K-RERA/PRJ/027/2020,2021-08-06,106,106,Completed,Kozhikode,OLAVANNA,Kozhikode
SECURA CENTRE KANNUR,Secura Developers Pvt Ltd,Shops/Office Space (Commercial),2019-05-14,2022-09-30,K-RERA/PRJ/060/2020,2021-03-30,70,61,Completed,Kannur,ELAYAVOOR,Kannur
Confident Greenwich,Confident Projects Residential,Residential (Apartment),2020-12-17,2026-06-16,K-RERA/PRJ/287/2020,2021-05-04,81,69,Inprogress,Kozhikode,NELLIKODE,Kozhikode
Eco One,Level 100 Realty Pvt Ltd,Villas (Plots & Buildings),2021-02-01,2024-07-31,K-RERA/PRJ/ERN/005/2021,2021-04-13,18,7,Inprogress,Ernakulam,AIKARANAD SOUTH,Kunnathunad
VITHAYATHIL AFFINITY AT PUKALAKKATTU,VITHAYATHIL HOMES,Residential (Apartment),2020-12-01,2024-12-30,K-RERA/PRJ/351/2020,2021-07-28,18,16,Completed,Ernakulam,CHERANALLUR,Kanayannur
SKYLINE GRAND TERRACE,M/s Skyline Builders,Residential (Apartment),2018-01-29,2022-01-30,K-RERA/PRJ/176/2020,2021-03-27,19,14,Completed,Kozhikode,KASABA,Kozhikode
SMS Vista,SMS BUILDERS,Residential (Apartment),2019-09-25,2023-02-28,K-RERA/PRJ/153/2020,2021-06-24,12,12,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
TEMPLE TREE,SI Property Kerala Private Limited,Residential (Apartment),2019-06-30,2024-12-31,K-RERA/PRJ/160/2020,2021-03-30,33,30,Completed,Thiruvananthapuram,PEROORKADA,THIRUVANANTHAPRUAM
VICTORIAN SQUARE BY CREATIONS,CREATIONS VILLAS & APARTMENTS PRIVATE LIMITED,Residential (Apartment),2019-12-31,2025-06-30,K-RERA/PRJ/038/2021,2021-04-22,19,11,Inprogress,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
VARMA PRIME,VARMA HOMES PRIVATE LIMITED,Residential (Apartment),2021-04-01,2025-10-01,K-RERA/PRJ/364/2020,2021-05-27,26,19,Completed,Ernakulam,NADAMA,Kanayannur
Classic Avenir Suites,Classic Constructions,Residential (Apartment),2019-06-30,2022-06-30,K-RERA/PRJ/274/2020,2021-04-30,34,34,Completed,Ernakulam,THRIKKAKARA NORTH,Kanayannur
OLIVE OURANIA,OLIVE BUILDERS,Residential (Apartment),2017-04-15,2024-09-30,K-RERA/PRJ/325/2020,2021-06-30,50,36,Completed,Ernakulam,EDAPPALLY NORTH,Kanayannur
AC SAMRUDHI,AC CITY PROJECTS PVT LTD,Residential (Apartment),2019-10-01,2022-08-10,K-RERA/PRJ/092/2020,2021-04-15,20,18,Completed,Ernakulam,POONITHURA,Kanayannur
Sobha Atlantis Phase 1 block 3 and 4,Sobha Limited,Residential (Apartment),2017-03-14,2026-06-30,K-RERA/PRJ/235/2020,2021-09-18,192,149,Inprogress,Ernakulam,NADAMA,Kanayannur
FORUS AZALEA,FORUS INITIATIVES,Residential (Apartment),2019-01-01,2023-05-01,K-RERA/PRJ/010/2020,2021-05-24,16,14,Completed,Thrissur,CHEMBUKAVU,Thrissur
Jayaraj Divya,Jayaraj Properties,Residential (Apartment),2019-12-01,2023-06-30,K-RERA/PRJ/078/2020,2021-05-26,16,16,Completed,Palakkad,PALAKKAD-2,Palakkad
Oceanus Sunshine Phase I,Oceanus Dwellings Pvt Ltd,Residential (Apartment),2014-12-08,2020-10-29,K-RERA/PRJ/090/2021,2021-03-30,68,68,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
M P S ABSOLUT,M P S India Holdings Pvt Ltd,Residential (Apartment),2017-04-01,2022-06-30,K-RERA/PRJ/358/2020,2021-08-16,43,43,Inprogress,Ernakulam,MARADU,Kanayannur
PVS CLASSIC,PVS Builders & Developers,Residential (Apartment),2018-10-19,2024-02-19,K-RERA/PRJ/087/2020,2021-09-14,75,65,Completed,Kannur,EDAKKAD,Kannur
FORUS GAZANIA,FORUS INITIATIVES,Residential (Apartment),2021-06-01,2027-12-31,K-RERA/PRJ/TSR/020/2021,2021-06-11,44,40,Completed,Thrissur,THRISSUR,Thrissur
NANMA EASTFORT,NANMA PROPERTIES LTD,Residential (Apartment),2021-02-22,2025-12-10,K-RERA/PRJ/ERN/004/2021,2021-04-12,148,145,Completed,Ernakulam,MARADY,Muvattupuzha
NATIONAL SIGNATURE,NATIONAL BUILDERS,Residential (Apartment),2016-12-14,2025-06-30,K-RERA/PRJ/121/2020,2021-04-22,74,68,Completed,Ernakulam,CHERANALLUR,Kanayannur
BREEZY MEADOWS,INDUS GRATIA CREATIVE HOMES PVT LTD,Residential (Apartment),2019-12-15,2024-12-30,K-RERA/PRJ/080/2021,2021-08-27,16,15,Inprogress,Ernakulam,NADAMA,Kanayannur
"Muthoot Homez, Akkulam",MPG Hotels & Infrastructure Ventures Private Limited,Mixed (Commercial & Residential),2018-04-14,2024-06-30,K-RERA/PRJ/90/2020,2021-04-17,211,110,Completed,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
ABAD REFLECTIONS,ABAD BUILDERS PVT LTD,Residential (Apartment),2018-09-20,2021-04-01,K-RERA/PRJ/046/2020,2021-04-27,20,20,Completed,Ernakulam,ELAMKULAM,Kanayannur
ASSET PLATINA,ASSET HOMES PRIVATE LIMITED,Mixed (Commercial & Residential),2020-09-22,2024-12-01,K-RERA/PRJ/225/2020,2021-04-15,54,53,Completed,Thrissur,THRISSUR,Thrissur
PRESTIGE CITYSCAPE,THOMSUN REALTORS PRIVATE LIMITED,Residential (Apartment),2018-10-13,2025-06-30,K-RERA/PRJ/232/2020,2021-08-31,102,92,Completed,Ernakulam,MARADU,Kanayannur
BEVERLY FLORENTO,KPA DEVELOPERS,Residential (Apartment),2016-10-24,2022-12-30,K-RERA/PRJ/002/2021,2021-07-01,74,58,Completed,Thrissur,GURUVAYUR,Chavakkad
vantage point,Sree Dhanya Homes Pvt ltd,Mixed (Commercial & Residential),2018-06-15,2024-04-30,K-RERA/PRJ/133/2020,2021-03-24,82,79,Completed,Thiruvananthapuram,VANCHIYOOR,THIRUVANANTHAPRUAM
ANTHEM,Prime Property Developers,Mixed (Commercial & Residential),2019-12-31,2024-12-31,K-RERA/PRJ/085/2020,2021-03-30,56,56,Completed,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
SFS RETREAT,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2019-02-01,2023-10-25,K-RERA/PRJ/001/2020,2021-04-30,77,77,Completed,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
"VSC Homes, MILAN CASTLE",VSC HOMES PRIVATE LIMITED,Residential (Apartment),2018-04-02,2022-12-30,K-RERA/PRJ/211/2020,2021-03-30,55,51,Completed,Thiruvananthapuram,NEMOM,THIRUVANANTHAPRUAM
ABAD GOLDEN OAK,ABAD BUILDERS PVT LTD,Residential (Apartment),2016-04-01,2019-05-28,K-RERA/PRJ/363/2020,2021-06-21,52,51,Completed,Ernakulam,MARADU,Kanayannur
GOOD EARTH MODERN TIMES,GOOD EARTH INDIA INFRA LIMITED,Residential (Apartment),2019-06-28,2023-09-30,K-RERA/PRJ/028/2020,2021-03-30,40,37,Completed,Ernakulam,THRIKKAKARA NORTH,Kanayannur
SAPTHAVARNA GALAXY,SAPTHAVARNA BUILDERS PVT LTD,Residential (Apartment),2014-12-31,2022-06-30,K-RERA/PRJ/347/2020,2021-07-05,51,27,Completed,Thrissur,Peringavu,Thrissur
SILVER CASTLE GREEN WOODS,Silver Castle Construction Company Pvt Ltd,Villas (Plots & Buildings),2019-09-01,2023-02-28,K-RERA/PRJ/319/2020,2021-04-23,9,6,Completed,Thiruvananthapuram,PEROORKADA,THIRUVANANTHAPRUAM
ELEVE MAISON,GALAXY BUILDERS,Mixed (Commercial & Residential),2019-10-01,2024-04-20,K-RERA/PRJ/157/2020,2021-04-23,52,52,Completed,Kozhikode,KACHERY,Kozhikode
SILVER CASTLE WINTER LEAF,Silver Castle Construction Company Pvt Ltd,Mixed (Commercial & Residential),2019-12-31,2025-12-31,K-RERA/PRJ/261/2020,2021-04-23,45,23,Inprogress,Thiruvananthapuram,PEROORKADA,THIRUVANANTHAPRUAM
VITHAYATHIL LEGEND CASA,VITHAYATHIL HOMES,Mixed (Commercial & Residential),2019-08-01,2024-02-25,K-RERA/PRJ/276/2020,2021-06-17,26,0,Completed,Ernakulam,ELAMKULAM,Kanayannur
SFS SUNNYVALE,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2018-04-03,2023-03-30,K-RERA/PRJ/158/2020,2021-04-30,101,101,Completed,Ernakulam,KAKKANAD,Kanayannur
GOOD EARTH BAREFOOT ON THE HILLS,SYMBIOSIS PROPERTIESAND INFRASTRUCTURES INDIA PRIVATE LTD,Plots,2017-10-04,2024-06-30,K-RERA/PRJ/125/2020,2021-04-23,,12,Completed,Kozhikode,CHELAVUR,Kozhikode
PRESTIGE HILLSIDE GATEWAY,PRESTIGE ESTATES PROJECTS LIMITED,Mixed (Commercial & Residential),2015-11-07,2022-12-31,K-RERA/PRJ/315/2020,2021-08-10,637,521,Completed,Ernakulam,KAKKANAD,Kanayannur
CHURCH GATE-2,Lord Krishna Home Mart Pvt Ltd,Plots,2020-05-29,2025-05-28,K-RERA/PRJ/326/2020,2021-04-21,,2,Inprogress,Thrissur,AVANISSERY,Thrissur
Prakrriti-Block4,Green Vistas Infrastructure Projects,Residential (Apartment),2018-01-01,2025-12-30,K-RERA/PRJ/084/2021,2021-05-21,98,29,Inprogress,Ernakulam,KAKKANAD,Kanayannur
Lotus Sopanam,VEDAPURI LOTUS PROPERTIES PVT LTD,Residential (Apartment),2019-11-14,2024-05-30,K-RERA/PRJ/082/2020,2021-04-28,41,41,Completed,Ernakulam,NADAMA,Kanayannur
NANDANAM HAVEN APARTMENT,Salim Associates Builders and Developers pvt Ltd,Residential (Apartment),2014-12-26,2021-06-20,K-RERA/PRJ/131/2021,2022-03-04,29,29,Completed,Thrissur,VIYYUR,Thrissur
DREAMFLOWER KALOPSIA,DREAM FLOWER HOUSING PROJECTS PVT LTD,Residential (Apartment),2019-07-30,2021-03-30,K-RERA/PRJ/022/2020,2021-04-15,17,17,Completed,Ernakulam,ELAMKULAM,Kanayannur
HiLITE ATHENA,HiLITE Builders Pvt Ltd,Residential (Apartment),2021-04-01,2023-12-31,K-RERA/PRJ/KKD/009/2021,2021-04-27,21,21,Completed,Kozhikode,OLAVANNA,Kozhikode
Oceanus Sunshine Phase II,Oceanus Dwellings Pvt Ltd,Residential (Apartment),2014-11-10,2022-03-30,K-RERA/PRJ/108/2021,2021-04-21,68,68,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
LA-MAISON,Sree Dhanya Homes Pvt ltd,Residential (Apartment),2019-11-11,2025-06-10,K-RERA/PRJ/306/2020,2021-07-05,24,20,Completed,Thiruvananthapuram,THYCAUD,THIRUVANANTHAPRUAM
ASTEN DEW DALE APARTMENTS,ASTEN PROPERTIES AND DEVELOPER PRIVATE LIMITED,Residential (Apartment),2014-11-22,2027-12-30,K-RERA/PRJ/292/2020,2021-04-22,63,0,Inprogress,Kottayam,KANJIRAPPALLY,KANJIRAPPALLY
SREEPAVANAPURI APARTMENT,sreepavanapuri constructors LLP,Residential (Apartment),2019-06-10,2023-05-30,K-RERA/PRJ/016/2021,2021-03-30,84,0,Completed,Thrissur,IRINGAPRAM,Chavakkad
Sobha Bela Encosta Phase-1,Sobha Limited,Villas (Plots & Buildings),2016-02-12,2025-06-30,K-RERA/PRJ/140/2021,2021-07-21,41,30,Inprogress,Kozhikode,KUTTIKKATTOOR,Kozhikode
ABAD OASIS,ABAD BUILDERS PVT LTD,Residential (Apartment),2016-04-01,2020-11-15,K-RERA/PRJ/212/2020,2021-06-21,95,95,Completed,Ernakulam,THRIKKAKARA NORTH,Kanayannur
M P S Aambience,M P S India Holdings Pvt Ltd,Residential (Apartment),2017-01-15,2023-12-30,K-RERA/PRJ/342/2020,2021-09-01,126,77,Inprogress,Ernakulam,NADAMA,Kanayannur
DREAMFLOWER LA-CASITA,DREAM FLOWER HOUSING PROJECTS PVT LTD,Residential (Apartment),2021-03-01,2024-01-31,K-RERA/PRJ/114/2021,2021-04-17,40,40,Completed,Ernakulam,VAZHAKKALA,Kanayannur
Marina One Phase-1,Sobha Limited,Residential (Apartment),2016-03-15,2025-06-30,K-RERA/PRJ/251/2020,2021-09-01,293,293,Completed,Ernakulam,ERNAKULAM,Kanayannur
ANTA - KINGS PLACE,ANTA BUILDERS & DEVELOPERS PVT LTD,Residential (Apartment),2018-06-01,2023-05-30,K-RERA/PRJ/043/2020,2021-09-02,67,8,Inprogress,Ernakulam,NADAMA,Kanayannur
NOEL TALLTERRACE,NOEL VILLAS AND APARTMENTS,Residential (Apartment),2021-03-10,2024-04-30,K-RERA/PRJ/354/2020,2021-06-30,70,70,Completed,Ernakulam,CHERANALLUR,Kanayannur
CLAYSYS HEIGHTS,CLAYSYS LIFESTYLE PRIVATE LIMITED,Villas (Plots & Buildings),2017-05-10,2021-06-30,K-RERA/PRJ/213/2020,2021-04-21,61,24,Completed,Ernakulam,KUNNATHUNAD,Kunnathunad
ANTA - QUEENS GARDEN,ANTA BUILDERS & DEVELOPERS PVT LTD,Villas (Plots & Buildings),2017-02-01,2023-08-31,K-RERA/PRJ/ERN/031/2021,2021-07-19,19,6,Completed,Ernakulam,ERNAKULAM,Kanayannur
THE MATEO,PALAL REALTY,Villas (Plots & Buildings),2020-10-12,2025-12-31,K-RERA/PRJ/111/2021,2021-03-30,29,14,Inprogress,Ernakulam,KAKKANAD,Kanayannur
GALAXY DELIGHT,USHUS KUMAR SADASIVAN,Residential (Apartment),2020-09-10,2022-09-19,K-RERA/PRJ/018/2021,2021-03-27,10,0,Completed,Thiruvananthapuram,THIRUMALA,THIRUVANANTHAPRUAM
MELONWOOD MANERA,Melonwood Homes Private Limited,Residential (Apartment),2019-11-01,2026-05-30,K-RERA/PRJ/313/2020,2021-04-21,24,6,Inprogress,Ernakulam,THRIKKAKARA NORTH,Kanayannur
TC ONE SKYWALK TOWER 2,TC ONE PROPERTIES AND PROJECTS INDIA PVT LTD,Residential (Apartment),2016-06-01,2022-03-31,K-RERA/PRJ/137/2020,2021-07-05,158,142,Completed,Kozhikode,OLAVANNA,Kozhikode
NANMA SACRAMENTO PROVIDENCE,NANMA PROPERTIES LTD,Residential (Apartment),2018-10-06,2020-12-30,K-RERA/PRJ/304/2020,2021-07-05,10,9,Completed,Kozhikode,CHEVAYUR,Kozhikode
NANDANAM HABITAT,R A  SALIM,Residential (Apartment),2017-01-05,2023-06-30,K-RERA/PRJ/012/2022,2022-07-18,19,0,Completed,Thrissur,IRINGAPRAM,Chavakkad
CONFIDENT FLORIS,Confident Projects Residential,Residential (Apartment),2016-01-02,2020-10-20,K-RERA/PRJ/249/2020,2021-04-15,108,108,Completed,Thiruvananthapuram,PALLIPURAM TRIVANDRUM,THIRUVANANTHAPRUAM
ADITHYA ELEGANCE,Rajesh Kumar  Krishnan,Residential (Apartment),2019-06-01,2023-12-30,K-RERA/PRJ/068/2021,2021-03-24,144,12,Completed,Thiruvananthapuram,PETTAH,THIRUVANANTHAPRUAM
KSK MOUNT CASTLE,KSK INFRA PROPERTIES,Villas (Plots & Buildings),2015-11-04,2022-12-31,K-RERA/PRJ/064/2021,2021-04-27,6,0,Completed,Kollam,MELILA,KOTTARAKKARA
Confident Crown,Confident Projects Residential,Residential (Apartment),2019-11-10,2025-09-09,K-RERA/PRJ/018/2020,2021-03-30,149,148,Completed,Thiruvananthapuram,KAZHAKOOTTAM,THIRUVANANTHAPRUAM
Mansions Palm Hills King Palms,MANSIONS,Residential (Apartment),2019-08-06,2022-03-30,K-RERA/PRJ/017/2020,2021-07-06,20,20,Completed,Thiruvananthapuram,KUDAPPANAKUNNU,THIRUVANANTHAPRUAM
VFIVE MONDAINE,VFIVE HOMES PRIVATE LIMITED,Mixed (Commercial & Residential),2017-03-01,2022-06-30,K-RERA/PRJ/032/2021,2021-07-09,37,8,Completed,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
DREAMFLOWER MAGNUM OPUS,DREAM FLOWER HOUSING PROJECTS PVT LTD,Residential (Apartment),2019-09-01,2022-12-31,K-RERA/PRJ/007/2020,2021-04-17,42,42,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
Oceanus Mythrika,Oceanus Dwellings Pvt Ltd,Residential (Apartment),2016-07-01,2023-12-30,K-RERA/PRJ/243/2020,2021-03-30,54,51,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
Ravindram,Chandrus Housing Projects,Residential (Apartment),2020-10-27,2022-10-26,K-RERA/PRJ/237/2020,2021-04-21,12,8,Completed,Ernakulam,ELAMKULAM,Kanayannur
SAMRUDHI,JGT Constructions Private Limited,Residential (Apartment),2016-08-31,2023-08-28,K-RERA/PRJ/145/2020,2021-06-01,32,27,Completed,Ernakulam,ELAMKULAM,Kanayannur
ASTEN AURUMWOODS,ASTEN REALTORS PRIVATE LIMITED,Residential (Apartment),2014-10-01,2025-06-30,K-RERA/PRJ/150/2020,2021-03-30,10,0,Inprogress,Ernakulam,ERNAKULAM,Kanayannur
DD TOWER ONE,Desai Rachana Private Limited,Residential (Apartment),2019-01-31,2024-05-30,K-RERA/PRJ/191/2020,2021-05-14,72,62,Completed,Pathanamthitta,THIRUVALLA,Thiruvalla
CHURCH GATE 1,Lord Krishna Home Mart Pvt Ltd,Plots,2019-10-01,2024-07-31,K-RERA/PRJ/271/2020,2021-03-30,,9,Inprogress,Thrissur,AVANISSERY,Thrissur
POOJA ILLOM VIEW,PRAVEENKUMAR  E A,Residential (Apartment),2018-08-03,2022-06-30,K-RERA/PRJ/059/2020,2021-07-05,20,4,Completed,Ernakulam,ERNAKULAM,Kanayannur
ARTECH FLORA,ARTECH REALTORS PRIVATE LIMITED,Residential (Apartment),2019-03-02,2023-09-30,K-RERA/PRJ/023/2020,2021-06-01,53,53,Completed,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
Kalyan Prima,Kalyan Developers,Villas (Plots & Buildings),2022-01-01,2025-12-31,K-RERA/PRJ/TSR/001/2022,2022-01-03,33,20,Completed,Thrissur,PERAMANGALAM,Thrissur
ARTECH KAAZHCHA,ARTECH REALTORS PRIVATE LIMITED,Residential (Apartment),2018-06-15,2024-12-30,K-RERA/PRJ/056/2020,2021-06-02,92,61,Completed,Pathanamthitta,KUTTAPUZHA,Thiruvalla
MB Urbanville,Prime Property Developers,Residential (Apartment),2016-12-29,2020-02-28,K-RERA/PRJ/265/2020,2021-03-27,55,55,Completed,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
POOJA SUDHINDRAM,PRAVEENKUMAR  E A,Residential (Apartment),2019-11-15,2025-06-29,K-RERA/PRJ/034/2020,2021-03-30,16,7,Completed,Ernakulam,ERNAKULAM,Kanayannur
BASHI SILVERCREST APARTMENTS,KARIPARAMBIL KASIM SALAUDHIN,Residential (Apartment),2019-04-06,2023-02-20,K-RERA/PRJ/316/2020,2021-06-30,20,17,Completed,Thrissur,IRINJALAKUDA,MUKUNDAPURAM
RDS LEGACY,RDS REALTIES LTD,Residential (Apartment),2016-07-20,2019-12-05,K-RERA/PRJ/054/2021,2021-03-24,48,48,Completed,Ernakulam,ELAMKULAM,Kanayannur
SFS CAPITAL PARK,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2016-03-23,2020-11-25,K-RERA/PRJ/360/2020,2021-05-14,26,26,Completed,Thiruvananthapuram,THYCAUD,THIRUVANANTHAPRUAM
SAMRAKSHA HOMES,Samraksha Habitat Private Limited,Residential (Apartment),2021-01-27,2023-09-30,K-RERA/PRJ/ERN/003/2021,2021-03-30,47,7,Completed,Ernakulam,AIKARANAD SOUTH,Kunnathunad
CORDIAL DHANYAM,CORDIAL CONSTRUCTION COMPANY,Residential (Apartment),2019-12-30,2024-03-30,K-RERA/PRJ/146/2020,2021-05-31,26,26,Completed,Thiruvananthapuram,VATTIYOORKAVU,THIRUVANANTHAPRUAM
Kalyan Heritage,Kalyan Developers,Residential (Apartment),2017-02-28,2021-12-30,K-RERA/PRJ/064/2020,2021-07-15,86,86,Completed,Thrissur,THRISSUR,Thrissur
DD HIPPODROME,DESAI HOMES,Residential (Apartment),2022-05-02,2026-12-31,K-RERA/PRJ/TVM/088/2022,2022-05-21,189,124,Inprogress,Thiruvananthapuram,VEILOOR,THIRUVANANTHAPRUAM
CORDON IMPERIAL GARDENS,CORDON CONSTRUCTORS & REALTORS Pvt Ltd,Residential (Apartment),2019-08-12,2026-12-31,K-RERA/PRJ/006/2020,2021-07-15,112,89,Inprogress,Thiruvananthapuram,KARAKULAM,Nedumangad
Marina One Phase 2,Sobha Limited,Residential (Apartment),2016-03-15,2027-06-30,K-RERA/PRJ/252/2020,2021-11-22,112,112,Completed,Ernakulam,ERNAKULAM,Kanayannur
LADDER CAPITAL HILL,Kerala Land Reforms And Development Co operative Society Ltd No 4482,Residential (Apartment),2019-07-01,2023-09-30,K-RERA/PRJ/187/2020,2021-06-18,222,154,Completed,Thiruvananthapuram,PANGAPARA,THIRUVANANTHAPRUAM
Kalyan Courtyard,Kalyan Developers,Residential (Apartment),2020-02-29,2025-02-28,K-RERA/PRJ/065/2020,2021-07-19,94,90,Completed,Thrissur,THRISSUR,Thrissur
Kalyan Divinity,Kalyan Developers,Residential (Apartment),2020-10-31,2025-06-30,K-RERA/PRJ/205/2020,2021-07-15,50,50,Completed,Thiruvananthapuram,PETTAH,THIRUVANANTHAPRUAM
Kalyan Meridian,Kalyan Developers,Residential (Apartment),2019-09-17,2023-12-31,K-RERA/PRJ/013/2020,2021-07-15,42,38,Completed,Thrissur,AYYANTHOLE,Thrissur
CONFIDENT PINNACLE,Confident Projects Residential,Residential (Apartment),2019-01-01,2023-11-01,K-RERA/PRJ/102/2020,2021-03-27,64,60,Completed,Ernakulam,THRIKKAKARA NORTH,Kanayannur
Kalyan Uptown,Kalyan Developers,Residential (Apartment),2019-12-31,2024-10-30,K-RERA/PRJ/026/2020,2021-07-23,39,38,Completed,Thrissur,THRISSUR,Thrissur
MELONWOOD REJOYZ,Melonwood Homes Private Limited,Residential (Apartment),2017-08-21,2023-11-30,K-RERA/PRJ/151/2020,2021-03-30,31,22,Completed,Ernakulam,VAZHAKKALA,Kanayannur
CHILGROVE,TALENMARK BUILDERS LLP,Villas (Plots & Buildings),2017-04-04,2023-06-04,K-RERA/PRJ/059/2021,2021-07-15,24,21,Completed,Wayanad,KUNNATHIDAVAKA,Vythiri
Kalyan Centrum,Kalyan Developers,Residential (Apartment),2016-07-31,2019-10-20,K-RERA/PRJ/049/2021,2021-08-16,36,36,Completed,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
Kairali Urban Nest,Kairali Constructions Private Limited,Residential (Apartment),2019-12-15,2025-12-30,K-RERA/PRJ/260/2020,2021-04-21,13,0,Inprogress,Ernakulam,CHERANALLUR,Kanayannur
UNDER THE BLUE SKY,ICLOUD HOMES PRIVATE LIMITED,Villas (Plots & Buildings),2018-06-09,2022-05-31,K-RERA/PRJ/166/2020,2021-04-17,45,27,Completed,Thiruvananthapuram,VEILOOR,THIRUVANANTHAPRUAM
Riddhi Siddhi Apartment,BHARATH RASIKLAL SHAH,Residential (Apartment),2020-02-03,2023-06-30,K-RERA/PRJ/041/2021,2021-04-15,15,2,Completed,Ernakulam,MATTANCHERRY,Kochi
BHAVANS CELESTIA,Bhavans Starco Builders Private Limited,Residential (Apartment),2015-02-23,2022-06-30,K-RERA/PRJ/223/2020,2021-05-14,41,0,Completed,Thrissur,PUZHAKKAL,Thrissur
Ghazal Rhythm,Ghazal Builders & Developers LLP,Residential (Apartment),2019-04-20,2023-12-31,K-RERA/PRJ/310/2020,2021-03-30,58,49,Completed,Kozhikode,CHATHAMANGALAM,Kozhikode
Kalyan Avanti,Kalyan Developers,Residential (Apartment),2017-05-31,2022-03-31,K-RERA/PRJ/241/2020,2021-05-31,73,73,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
